Costs,Iteration1,x1,x1_1,x1_2,x1_3,x1_4,x1_5,x1_6
cTotal,50595.77303310731,55688.61679720505,168543.21199733397,167409.7274924163,76354.30830090558,32530.084904252297,58940.596657575115,27663.053876289843
cFix,49982.30237,54625.532600000006,166827.2211,166827.2211,74973.45355000002,13758.30494,27516.60989,17935.630645999998
cVar,2.8032000000000004,2.8032000000000004,1.96224,1.96224,2.8032000000000004,0.0,0.0,0.0
cFuel,49.65198683221709,54.63670473497737,51.372820870180455,35.02141091524015,59.22200658630287,6513.192114369094,31.940906661306744,52.26693818530944
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,1.8457013484993026,1.9002592538203396,0.0,0.0,1.9739322974875035,0.0,0.0,0.0
cBackupFix,169.49236685413038,166.1025195170478,105.995574712,270.6686318638362,408.8355481378919,0.0,31362.08444796029,9626.128525441814
cBackupReplacement,389.6774080724803,837.6415136992201,1556.6602617518358,274.8541096373018,908.0200638838803,12258.587849883197,29.96141295352779,49.02776666272941
cBackupVar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
